Index,Dates,Fish Count
0,5034,"July, 01 2022"
1,4212,"July, 02 2022"
2,5796,"July, 03 2022"
3,7314,"July, 04 2022"
4,7386,"July, 05 2022"
5,10341,"July, 06 2022"
6,12973,"July, 07 2022"
7,13884,"July, 08 2022"
8,13992,"July, 09 2022"
9,21424,"July, 10 2022"
10,20597,"July, 11 2022"
11,8094,"July, 12 2022"
12,9636,"July, 13 2022"
13,5556,"July, 14 2022"
14,5225,"July, 15 2022"
15,18780,"July, 16 2022"
16,45558,"July, 17 2022"
17,39697,"July, 18 2022"
18,74328,"July, 19 2022"
19,189420,"July, 20 2022"
20,155774,"July, 21 2022"
21,99324,"July, 22 2022"
22,79950,"July, 23 2022"
23,101376,"July, 24 2022"
24,54139,"July, 25 2022"
25,44166,"July, 26 2022"
26,56110,"July, 27 2022"
27,32859,"July, 28 2022"
28,24474,"July, 29 2022"
29,24594,"July, 30 2022"
30,16902,"July, 31 2022"
31,31619,"August, 01 2022"
32,36152,"August, 02 2022"
33,21493,"August, 03 2022"
34,26351,"August, 04 2022"
35,29960,"August, 05 2022"
36,19915,"August, 06 2022"
37,23752,"August, 07 2022"
38,21717,"August, 08 2022"
39,25924,"August, 09 2022"
40,21212,"August, 10 2022"
41,26198,"August, 11 2022"
